claim,class,status,publication_language
O4 nucleation / corrected wall background,DERIVED/FROZEN,PASS,"Use as established frozen input; cite its own derivation package."
Analytic continuation gives literal dS3 wall early expansion,DERIVED/GEOMETRIC,PASS,"Derived early acceleration of wall universe."
Large early H3 mostly extrinsic/pressure wall acceleration,DERIVED/CONTROL,PASS,"Explains why H3 is not inherited as post-handoff H4."
Global wall radius/area supplies relational history time,DERIVED/SEMICLASSICAL,PASS,"Background relational clock; not a local scalar perturbation or trigger."
Handoff at N*=57.8401844744,CONDITIONAL-CONTINUOUS,FROZEN,"One phenomenological/conditional history datum; not FP-derived."
Handoff terminates observable dS3 epoch,CONDITIONAL-DISCRETE,PASS,"Follows if dimensional re-encoding occurs at N*."
Flat causal patch reconstructs k=0 hot FRW,CONDITIONAL-DISCRETE,REQUIRED,"Global S2 wall radius is not inherited as FRW curvature."
True-Minkowski reference C=-V_T,CONDITIONAL/INHERITED BOUNDARY,PASS,"Required gravitational reference; diagnostic C=0 FRW interpretation is excluded."
Handoff quench duration from wall thickness,DERIVED,PASS,"No independent transition-duration parameter."
Localized state norm opens into 3+1 continuum when bound state disappears,KINEMATIC THEOREM,PASS,"Channel-resolved energy partition not fixed by completeness alone."
Universal geometric visible loading,CONDITIONAL-DISCRETE,CONTROLLED PASS,"No fitted efficiency; exact reheating temperature not predicted."
Visible stress weight dominates 1-3 light hidden scalars,CONTROLLED COMPARATOR,PASS,"Use as robustness evidence, not precision branching prediction."
Phase-B2 flavor invariants survive universal geometric handoff,CONDITIONAL THEOREM,PASS,"Requires handoff factorization U_geom tensor I_internal."
Ordinary radiation/matter evolution after handoff,CONDITIONAL BACKGROUND,PASS,"Given visible bath and frozen ownership rules."
Global screen ruler R* owns nonlocal reconstruction sector,CONDITIONAL-DISCRETE,PASS,"Do not call R*^-1 the microscopic matter UV cutoff."
Maximal-depth CKN-shaped screen-to-bulk law,CONDITIONAL-DISCRETE,FROZEN,"Exact order-one normalization not FP-derived."
Late global/extrinsic dS4 geometry,GEOMETRIC CONDITIONAL,PASS,"Exact once L_IR and metric ownership are granted."
Late effective w=-1,DERIVED CONDITIONAL,PASS,"Exact geometric equation of state; absolute scale is conditional."
Observed late DE normalization,PHEMONENOLOGICAL/CONDITIONAL,NOT PREDICTED,"Inherited through N* plus discrete reconstruction law; do not advertise as blind FP prediction."
H8 and Lambda_mem as DE,RETIRED,NO,"DM/memory-only bookkeeping."
DM/memory screen persists through handoff,CONDITIONAL-DISCRETE,PASS IF SCREEN PERSISTS,"Destructive handoff would require DM re-audit."
Goldstone loop B_theta=|q|^3/256,DERIVED,PASS,"Correct scalar shape class; wrong amplitude class."
Primordial scalar A_s,PHEMONENOLOGICAL-STATE,FROZEN,"Prepared Gaussian adiabatic initial-state parameter."
Primordial scalar n_s,PHEMONENOLOGICAL-STATE,FROZEN,"Prepared Gaussian adiabatic initial-state parameter."
Primordial running alpha_s,MINIMAL TRUNCATION,OPEN,"Set to zero only as leading truncation; not a prediction."
Primordial tensor-to-scalar ratio r,OPEN/RETIRED COMPARATOR,NO FINAL PREDICTION,"Historical r~0.015 comparator is not a model prediction."
Emergent time itself generates CMB scalar,RETIRED,NO,"Global clock exists but local scalar response is constrained/gauge."
O4 radial reconstruction flow generates CMB scalar,RETIRED,NO,"Too weak/narrow in frozen action."
5D parent scalar graviton closes CMB spectrum,RETIRED,NO,"Scalar projector exists but codim-2 kernel has wrong nonlocal scaling."
Material/superfluid flow around O4 wall,FUTURE-DERIVATION CLUE,OPEN,"Not part of frozen premises; test symmetry, stress, clock/trigger and perturbation roles."
